meth,covariance,decl,fp,Freq,Method:,Decline,Covariance
l0,nocov23,mild,0,100,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
t0,nocov23,mild,0,48,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
l0,nocov7,mild,0,99,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
t0,nocov7,mild,0,78,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
l0,yocov23,mild,0,100,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
t0,yocov23,mild,0,72,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Covaried~predictors~(k==23)
l0,nocov23,moderate,0,100,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
t0,nocov23,moderate,0,43,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==23)
l0,nocov7,moderate,0,98,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
t0,nocov7,moderate,0,72,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Independent~predictors~(k==7)
l0,yocov23,moderate,0,100,Bayesian Lasso,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
t0,yocov23,moderate,0,58,Two-step procedure,Moderate~average~decline~(b[1]==-0.5),Covaried~predictors~(k==23)
l0,nocov23,none,0,100,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
t0,nocov23,none,0,53,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==23)
l0,nocov7,none,0,99,Bayesian Lasso,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
t0,nocov7,none,0,86,Two-step procedure,No~average~decline~(b[1]==0.0),Independent~predictors~(k==7)
l0,yocov23,none,0,100,Bayesian Lasso,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
t0,yocov23,none,0,78,Two-step procedure,No~average~decline~(b[1]==0.0),Covaried~predictors~(k==23)
l0,nocov23,mild,1,0,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
t0,nocov23,mild,1,35,Two-step procedure,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==23)
l0,nocov7,mild,1,1,Bayesian Lasso,Mild~average~decline~(b[1]==-0.3),Independent~predictors~(k==7)
